BAS.INSTNAME,Country,BAS.WEBSITE
Hochschule für Agrar- und Umweltpädagogik Wien,Austria,http://www.agrarumweltpaedagogik.ac.at/
Hochschule für Angewandte Wissenschaften Burgenland,Austria,http://www.fh-burgenland.at/
Fachhochschule Salzburg,Austria,http://www.fh-salzburg.ac.at/
Fachhochschule St. Pölten,Austria,https://www.fhstp.ac.at/
Fachhochschule CAMPUS 02,Austria,http://www.campus02.at/
Fachhochschule des BFI Wien,Austria,http://www.fh-vie.ac.at/
MCI Management Center Innsbruck,Austria,http://www.mci.edu/de/
"Bundesministerium für Landesverteidigung und Sport, Sektion II, Gruppe Ausbildungswesen, Ausbildung A",Austria,http://www.miles.ac.at/FH/default.php
Fachhochschule Kufstein Tirol,Austria,http://www.fh-kufstein.ac.at/
FH OÖ Studienbetriebs GmbH,Austria,http://www.fh-ooe.at/
Hochschule für Angewandte Wissenschaften Campus Wien,Austria,http://www.fh-campuswien.ac.at/
Lauder Business School,Austria,http://www.lbs.ac.at/
fh Gesundheit,Austria,https://www.fhg-tirol.ac.at/page.cfm?vpath=fachhochschule/aktuell
Ferdinand Porsche FernFH GmbH,Austria,http://www.fernfh.at/
Fachhochschule Wien der WKW,Austria,http://www.fh-wien.ac.at/
Fachhochschule Vorarlberg,Austria,http://www.fhv.at/
Fachhochschule Technikum Wien,Austria,http://www.technikum-wien.at/
IMC Hochschule für Angewandte Wissenschaften Krems,Austria,http://www.fh-krems.ac.at/
Fachhochschule Wiener Neustadt,Austria,http://www.fhwn.ac.at/
Fachhochschule Kärnten,Austria,http://www.fh-kaernten.at/
Fachhochschule JOANNEUM,Austria,https://www.fh-joanneum.at/en/
Danube Private University,Austria,https://www.dp-uni.ac.at/en/home
FH Gesundheitsberufe OÖ,Austria,http://www.fh-gesundheitsberufe.at/
Karl Landsteiner Privatuniversität für Gesundheitswissenschaften,Austria,http://www.kl.ac.at/
JAM MUSIC LAB Privatuniversität für Jazz und Popularmusik,Austria,https://www.jammusiclab.com/
Central European University Private University,Austria,https://www.ceu.edu/vienna
Stella Vorarlberg Privathochschule für Musik,Austria,https://stella-musikhochschule.ac.at/
Gustav Mahler Privatuniversität für Musik,Austria,https://www.gmpu.ac.at/
Bertha von Suttner Privatuniversität,Austria,https://www.suttneruni.at/de
Université de Namur,Belgium,http://www.unamur.be
Université Saint-Louis - Bruxelles,Belgium,https://www.usaintlouis.be/
Université catholique de Louvain,Belgium,http://www.uclouvain.be
Université de Liège,Belgium,http://www.ulg.ac.be/
Université de Mons,Belgium,http://web.umons.ac.be/en/
Université libre de Bruxelles,Belgium,http://www.ulb.ac.be/
Haute Ecole ICHEC - ECAM - ISFSC,Belgium,https://he-ichec-ecam-isfsc.be/
Haute Ecole Albert Jacquard,Belgium,http://heaj.be
Haute Ecole Charlemagne,Belgium,http://www.hech.be/
Haute Ecole de Bruxelles,Belgium,https://www.he2b.be
Haute Ecole en Hainaut,Belgium,http://www.heh.be
Haute Ecole Robert Schuman,Belgium,http://www.hers.be/
Haute Ecole Paul-Henri Spaak,Belgium,http://www.he-spaak.be
Haute Ecole de la Province de Liège,Belgium,http://www.provincedeliege.be/hauteecole
Haute Ecole de la Province de Namur,Belgium,http://www.hepn.be/
Haute Ecole de la Ville de Liège,Belgium,http://www.hel.be
Haute Ecole Ephec,Belgium,http://www.ephec.be
Haute Ecole Francisco Ferrer,Belgium,https://www.he-ferrer.eu
Haute Ecole Galilée,Belgium,http://www.galilee.be
Haute Ecole Léonard de Vinci,Belgium,http://www.vinci.be
Haute Ecole Libre de Bruxelles Ilya Prigogine,Belgium,http://www.helb-prigogine.be
Haute Ecole Libre Mosane,Belgium,http://www.helmo.be
Haute Ecole Louvain en Hainaut,Belgium,http://www.helha.be
Haute Ecole Lucia de Brouckère,Belgium,http://www.heldb.be
Haute Ecole Provinciale du Hainaut - Condorcet,Belgium,http://www.condorcet.be/
Académie des Beaux-Arts de la ville de Tournai,Belgium,http://www.actournai.be
Académie royale des Beaux-Arts de la Ville de Bruxelles - École supérieure des Arts,Belgium,http://www.arba-esa.be
Ecole supérieure des Arts de la Ville de Liège,Belgium,https://beauxartsdeliege.be/
Conservatoire royal de musique de Bruxelles,Belgium,http://www.conservatoire.be
Conservatoire royal de musique de Liège,Belgium,http://www.crlg.be
Ecole supérieure des Arts du Cirque,Belgium,http://www.esac.be
Ecole supérieure des Arts - École de Recherche graphique,Belgium,http://www.erg.be/
Ecole nationale supérieure des Arts visuels de La Cambre,Belgium,http://www.lacambre.be/fr
Ecole supérieure des Arts de l'Image LE 75,Belgium,http://www.leseptantecinq.be
Ecole supérieure des Arts Saint-Luc de Liège,Belgium,http://www.saint-luc.be/
Ecole supérieure des Arts Institut Saint-Luc Tournai,Belgium,http://stluc-sup-tournai.be/
Institut des Arts de Diffusion,Belgium,http://www.iad-arts.be
Institut national supérieur des Arts du Spectacle et des Techniques de Diffusion,Belgium,http://www.insas.be
Institut supérieur de Musique et de Pédagogie,Belgium,http://www.imep.be
HUB-KUBrussel,Belgium,m
Katholieke Universiteit Leuven,Belgium,http://www.kuleuven.be
Transnationale Universiteit Limburg,Belgium,https://tul.edu/default.asp
Universiteit Hasselt,Belgium,http://www.uhasselt.be
Universiteit Antwerpen,Belgium,http://www.uantwerpen.be
Universiteit Gent,Belgium,http://www.ugent.be
Vrije Universiteit Brussel,Belgium,http://www.vub.ac.be
Arteveldehogeschool,Belgium,http://www.arteveldehogeschool.be
HUB-EHSAL,Belgium,https://www.odisee.be/en
Erasmushogeschool Brussel,Belgium,http://www.erasmushogeschool.be
UC Leuven Comenius Lerarenopleidingen,Belgium,https://www.ucll.be/
Hogere Zeevaartschool,Belgium,http://www.hzs.be
Artesis Hogeschool Antwerpen,Belgium,http://www.artesis.be
Hogeschool Gent,Belgium,http://www.hogent.be
XIOS Hogeschool Limburg,Belgium,http://www.xios.be
Hogeschool West-Vlaanderen,Belgium,http://www.howest.be
LUCA School of Arts,Belgium,http://www.luca-arts.be/en
Karel de Grote-Hogeschool - Katholieke Hogeschool Antwerpen,Belgium,http://www.kdg.be
Katholieke Hogeschool Vives Noord,Belgium,http://www.vives.be
Thomas More Kempen,Belgium,http://www.thomasmore.be
UC Leuven,Belgium,https://www.ucll.be/international
Lessius Mechelen,Belgium,http://www.lessius.eu
Katholieke Hogeschool Sint-Lieven,Belgium,http://www.kahosl.be
Plantijn-Hogeschool van de provincie Antwerpen,Belgium,http://www.ap.be
Provinciale Hogeschool Limburg,Belgium,http://www.phl.be
Haute Ecole de Namur-Liège-Luxembourg,Belgium,http://www.henallux.be/
Arts²,Belgium,https://www.artsaucarre.be/
ODISEE,Belgium,http://www.odisee.be/en
AP Hogeschool Antwerpen,Belgium,https://www.ap.be/
Hogeschool PXL,Belgium,http://www.pxl.be/
Ecole supérieure des Arts - Saint-Luc de Bruxelles,Belgium,http://www.stluc-bruxelles-esa.be
Haute Ecole Bruxelles-Brabant,Belgium,https://www.he2b.be/
Institut Roger Guilbert,Belgium,http://www.ceria.be/irg/cms/index.php/fr
"Institut Paul Hankar des technologies de la Communication, de la Construction et des Métiers d'Art",Belgium,http://www.paulhankar.be/
Enseignement de Promotion et de Formation continue EPFC 8,Belgium,https://www.epfc.eu/
Institut des carrières commerciales,Belgium,https://www.iccbxl.be/web/
Cours industriels,Belgium,https://www.coursindustriels.com/
Institut Jean-Pierre Lallemand,Belgium,https://institutlallemand.be/
Institut de Formation de cadres pour le Développement,Belgium,https://www.ifcad.net
Institut supérieur de formation continue d'Etterbeek,Belgium,https://www.isfce.org/
Etablissement d'Enseignement pour Adultes et de Formation Continue Evere,Belgium,http://www.iepsevere.be/
Institut supérieur de Promotion Sociale Libre de Bruxelles Ilya Prigogine,Belgium,https://www.institut-prigogine.be/
Institut Machtens - Enseignement communal de promotion sociale,Belgium,http://www.institut-machtens.be/
Centre d'Etudes supérieures d'Optométrie appliquée,Belgium,https://www.cesna.be/
Ateliers Saint-Luc,Belgium,https://www.ateliers-stluc.be/?redirect=stluc-bruxelles-eps.be
Centre de formation culturelle et sociale,Belgium,http://cfcs-vf.eu/
Cours de promotion sociale d'Uccle,Belgium,https://www.cpsu.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue Uccle,Belgium,https://www.eafc-uccle.be/
Centre de formation pour les secteurs infirmier et de la santé de l'A.C.N.,Belgium,https://www.cpsi.be
Etablissement d'Enseignement pour Adultes et de Formation Continue Braine l'Alleud,Belgium,http://www.promotionsociale.be/
Institut provincial d'enseignement de promotion sociale et de formation continuée,Belgium,http://www.ipfc.be/
Institut de formation supérieure de Wavre,Belgium,http://www.ifosupwavre.be/
Institut supérieur industriel de la province de Hainaut,Belgium,https://www.etudierenhainaut.be/isips-charleroi.html
"Collège technique ""Aumôniers du travail""",Belgium,http://www.promsocatc.com/
Université du Travail - Institut d'enseignement technique commercial,Belgium,https://www.etudierenhainaut.be/ietcps-charleroi.html
Ecole des Femmes prévoyantes socialistes de Charleroi,Belgium,https://www.efps.be/
Institut Provincial d' Enseignement supérieur de Promotion sociale Lise THIRY,Belgium,https://www.etudierenhainaut.be/institut-provincial-lise-thiry.html
Centre d'enseignement supérieur pour adultes,Belgium,http://www.cesa.be/
Établissement Communal d'Enseignement de Promotion sociale - Couillet,Belgium,https://www.eceps.be/couillet/
Etablissement d'Enseignement pour Adultes et de Formation Continue des Hauts-Pays,Belgium,http://eafc-hp.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Frameries,Belgium,https://www.eafc-frameries.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue Jean Meunier,Belgium,http://www.iepsjemappes.be/
Institut Reine Astrid - I.R.A.M.,Belgium,https://iramps.be/
Institut Provincial d'Enseignement Supérieur de Promotion sociale Henri La Fontaine,Belgium,https://www.etudierenhainaut.be/promotion-sociale-superieur-mons.html
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Colfontaine - Jurbise,Belgium,https://www.iepscol.be/
Collège Technique Saint-Henri,Belgium,https://sainthenri-promsoc.be
Etablissement d'Enseignement pour Adultes et de Formation Continue Mouscron Wallonie picarde,Belgium,http://www.iepsm.be/
Enseignement de Promotion sociale d'Enghien,Belgium,https://www.epse.be/
Institut provincial des Arts et Métiers du Centre,Belgium,https://www.etudierenhainaut.be/institut-provincial-arts-et-metiers-centre.html
Institut technique et agricole de la Province du Hainaut,Belgium,https://www.etudierenhainaut.be/ita-soignies.html
Ecole Industrielle et Commerciale d'Ecaussinnes,Belgium,https://www.etudierenhainaut.be/ecole-industrielle-commerciale-ecaussinnes.html
Institut supérieur Plus Oultre,Belgium,http://www.plusoultre.net/
Ecole des Arts et métiers promotion sociale,Belgium,https://www.ameps.eu/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Morlanwelz,Belgium,http://www.ineps-mlz.be
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Rance,Belgium,https://www.rance-promsoc.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Péruwelz,Belgium,https://www.epsperuwelz.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Tournai Eurométropole,Belgium,https://iepscf-tournai.be/
Institut provincial d'enseignement de promotion sociale de Wallonie picarde,Belgium,https://www.etudierenhainaut.be/enseignement-de-promotion-sociale-tournai-leuze.html
Institut provincial d'enseignement de promotion sociale de Huy-Waremme,Belgium,https://www.provincedeliege.be/fr/enseignement/promotionsociale/fr/ipepshuywaremme
Institut provincial d'enseignement de promotion sociale de Herstal,Belgium,https://www.provincedeliege.be/fr/enseignement/promotionsociale/fr/ipepsherstal
Institut de Travaux publics - Enseignement de promotion sociale,Belgium,https://www.institutdetravauxpublics.be/
Cours de promotion sociale Saint-Luc,Belgium,https://www.saintlucpsliege.be
Institut Saint-Laurent - Promotion sociale,Belgium,http://www.isl.be
Institut de technologie - Enseignement de promotion sociale,Belgium,https://webitlg.portail.itlg.be/
Institut provincial d'enseignement de promotion sociale de Liège,Belgium,http://www.provincedeliege.be/enseignement/promotionsociale/fr/ipepsliege
Ecole de commerce et d'informatique - Enseignement de promotion sociale,Belgium,https://www.eci-liege.info/
Institut des Langues modernes - Enseignement de promotion sociale,Belgium,http://www.institutdeslanguesmodernes.com/
Institut de formation continuée,Belgium,http://www.ifcjonfosse.be
Cours pour éducateurs en fonction,Belgium,https://cpse-liege.be/
Institut provincial d'enseignement supérieur de promotion sociale de Seraing,Belgium,http://www.provincedeliege.be/enseignement/promotionsociale/ipepsseraingsuperieur
Etablissement d'Enseignement pour Adultes et de Formation Continue Fléron Charlemagne,Belgium,https://www.promotion-sociale.be/
Etablissement d’Enseignement pour Adultes et de Formation continue Ardenne bleue,Belgium,http://www.eafc-ab.be/
Institut provincial d'enseignement de promotion sociale - Orientation technologique,Belgium,http://www.provincedeliege.be/fr/enseignement/promotionsociale/fr/ipepsvervierstechnologique
Institut provincial d'enseignement de promotion sociale - Orientation commerciale,Belgium,https://www.provincedeliege.be/fr/enseignement/promotionsociale/fr/ipepsvervierscommercial
Etablissement d'Enseignement pour Adultes et de Formation Continue Hesbaye-Condroz,Belgium,https://promotion-sociale-waremme.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue Sud-Luxembourg,Belgium,https://www.promsoc-arlon.be/index.php
Ecole industrielle et commerciale d'Arlon,Belgium,http://www.eicarlon.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue Famenne Ardenne,Belgium,https://ieps-marche.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Centre Ardenne,Belgium,https://www.iepslibramont.be/
Institut libre luxembourgeois d'enseignement de promotion sociale - Arts et Métiers Pierrard,Belgium,https://illeps.be/
Ecole supérieure des Affaires,Belgium,https://esa-namur.be/
Institut technique de promotion sociale,Belgium,http://www.itn-namur.be/
Etablissement d'Enseignement pour Adultes et de Formation Continue (EAFC) Namur - Cadets,Belgium,https://www.iepscf-namur.be/
Ecole industrielle et commerciale de la Ville de Namur,Belgium,https://eicvn.namur.be/
Institut provincial de Formation sociale,Belgium,https://www.ipfs.be/
Institut technique supérieur Cardinal Mercier - Enseignement de promotion sociale,Belgium,http://www.itscm2.be/site2019/
Institut libre de formation permanente,Belgium,http://ilfop.be/
Centre d'enseignement supérieur de promotion et de formation continuée en brabant wallon,Belgium,http://www.cpfb.be/
Institut Roger Lambion,Belgium,https://lambion.brussels/
Etablissement d'Enseignement pour Adultes et de Formation Continue Ath,Belgium,http://www.ath-promsoc.be/
EPHEC Enseignement supérieur de promotion sociale,Belgium,https://www.ephec.be/
"Югозападен университет ""Неофит Рилски""",Bulgaria,http://www.swu.bg/?lang=en
Американски университет в България,Bulgaria,http://www.aubg.bg/
Колеж по туризъм - Благоевград,Bulgaria,http://cotur.bg/en/
Университет “Проф. д-р Асен Златаров”,Bulgaria,http://www.btu.bg/index.php/en/
Бургаски свободен университет,Bulgaria,https://www.bfu.bg/en
Икономически университет - Варна,Bulgaria,http://www.ue-varna.bg/en/
Технически университет - Варна,Bulgaria,https://fs.tu-varna.bg
"Медицински университет ""проф. д-р Параскев Стоянов""",Bulgaria,http://www.mu-varna.bg/EN
"Варненски свободен университет ""Черноризец Храбър""",Bulgaria,http://vfu.bg/en/
"Висше военноморско училище ""Н. Й. Вапцаров""",Bulgaria,http://www.naval-acad.bg/en
"Великотърновски университет ""Св. св. Кирил и Методий""",Bulgaria,https://www.uni-vt.bg/eng/
Националeн военен университет “Васил Левски,Bulgaria,http://www.nvu.bg/en
"Стопанска академия ""Д. А. Ценов"" - Свищов",Bulgaria,https://www.uni-svishtov.bg/en
Технически университет - Габрово,Bulgaria,http://www.tugab.bg/en
Висше училище по мениджмънт,Bulgaria,https://vum.bg
Медицински университет - Плевен,Bulgaria,http://www.mu-pleven.bg/index.php?lang=en
"Пловдивски университет ""Паисий Хилендарски""",Bulgaria,https://uni-plovdiv.bg/
Университетът по хранителни технологии,Bulgaria,http://uft-plovdiv.bg/index.php
Аграрен университет – Пловдив,Bulgaria,http://www.au-plovdiv.bg/en/
Медицински университет - Пловдив,Bulgaria,https://mu-plovdiv.bg/en/
"Академия за музикално, танцово и изобразително изкуство",Bulgaria,https://aec-music.eu/member/academy-of-music-dance-and-fine-arts-prof-asen-diamandiev
Висше училище по агробизнес и развитие на регионите,Bulgaria,http://uard.bg/en
Висше училище по сигурност и икономика,Bulgaria,https://www.vusi.bg/
Европейско висше училище по икономика и мениджмънт,Bulgaria,https://ehsem.bg
"Русенски университет ""Ангел Кънчев""",Bulgaria,http://www.uni-ruse.bg/en
"Софийски университет ""Св. Климент Охридски""",Bulgaria,http://www.uni-sofia.bg/index.php/eng
Университет за национално и световно стопанство,Bulgaria,http://www.unwe.bg/en/
"Университет по архитектура, строителство и геодезия",Bulgaria,https://uacg.bg/?l=2
Технически Университет - София,Bulgaria,http://www.tu-sofia.bg/
Химикотехнологичен и металургичен университет,Bulgaria,https://uctm.edu/en/
"Минно-геоложкият университет ""Св. Иван Рилски""",Bulgaria,https://mgu.bg/
Лесотехнически университет,Bulgaria,https://ltu.bg/en/
Медицински университет - София,Bulgaria,http://www.mu-sofia.bg/en
"Национална спортна академия “Васил Левски""",Bulgaria,http://www.nsa.bg/en
"Национална Академия за Театрално и Филмово Изкуство ""Кръстьо Сарафов""",Bulgaria,http://en.natfiz.bg/
Национална художествена академия,Bulgaria,http://www.nha.bg/en
"Национална музикална академия ""Проф. П. Владигеров""",Bulgaria,https://nma.bg
Нов Български Университет,Bulgaria,https://www.nbu.bg/en
Висше строително училище “Любен Каравелов”,Bulgaria,http://www.vsu.bg/index.php?lang=en
"Висше транспортно училище ""Тодор Каблешков""",Bulgaria,https://www.vtu.bg/
Академия на Министерство на вътрешните работи,Bulgaria,https://www.mvr.bg/academy
"Военна академия ""Георги Стойков Раковски""",Bulgaria,https://rndc.bg/
Университет по библиотекознание и информационни технологии,Bulgaria,http://www.unibit.bg/en
Висше училище по телекомуникации и пощи,Bulgaria,https://www.utp.bg/en/
"Колеж по мениджмънт, търговия и маркетинг",Bulgaria,http://www.mtmcollege.org/en/default.aspx
"Театрален колеж ""Любен Гройс""",Bulgaria,https://lgroys-college.com
Висше училище по застраховане и финанси,Bulgaria,http://www.vuzf.bg/?Template=VUZF&LanguageID=2
Международно висше бизнес училище,Bulgaria,http://ibsedu.bg/en
Тракийски Университет,Bulgaria,http://www.uni-sz.bg/engl
Шуменски университет “Епископ Константин Преславски”,Bulgaria,http://shu.bg/?language=en
Българска академия на науките,Bulgaria,https://www.bas.bg/
Европейски политехнически университет - Перник,Bulgaria,http://epubg.eu/bulgaria/
Висше военновъздушно училище „Георги Бенковски“ – Долна Митрополия,Bulgaria,https://www.af-acad.bg/
Universität Basel,Switzerland,http://www.unibas.ch
Universität Bern,Switzerland,http://www.unibe.ch
Université de Fribourg,Switzerland,http://www.unifr.ch
Université de Genève,Switzerland,http://www.unige.ch
Université de Lausanne,Switzerland,http://www.unil.ch
Universität Luzern,Switzerland,http://www.unilu.ch
Université de Neuchâtel,Switzerland,http://www.unine.ch
Universität Sankt Gallen,Switzerland,http://www.unisg.ch
Universität Zürich,Switzerland,http://www.uzh.ch
Università della Svizzera italiana,Switzerland,http://www.usi.ch
Ecole Polytechnique Fédéral de Lausanne,Switzerland,https://www.epfl.ch
Eidgenössische Technische Hochschule Zürich,Switzerland,http://www.ethz.ch
Berner Fachhochschule,Switzerland,http://www.bfh.ch
Haute Ecole Spécialisée de la Suisse Occidentale,Switzerland,http://www.hes-so.ch
Fachhochschule Nordwestschweiz,Switzerland,http://www.fhnw.ch
Hochschule Luzern,Switzerland,http://www.hslu.ch/
Scuola Universitaria Professionale della Svizzera italiana,Switzerland,http://www.supsi.ch
Zürcher Fachhochschule,Switzerland,http://www.zfh.ch
Kalaidos Fachhochschule,Switzerland,http://www.kalaidos-fh.ch/
Haute école pédagogique du Canton de Vaud,Switzerland,http://www.hepl.ch
Haute école pédagogique du Valais,Switzerland,http://www.hepvs.ch
Haute école pédagogique du Canton de Fribourg,Switzerland,http://www.hepfr.ch
Haute école pédagogique BEJUNE,Switzerland,http://www.hep-bejune.ch
Pädagogische Hochschule Bern,Switzerland,http://www.phbern.ch
Pädagogische Hochschule Zentralschweiz,Switzerland,https://www.phlu.ch
Interkantonale Hochschule für Heilpädagogik,Switzerland,http://www.hfh.ch
Pädagogische Hochschule St.Gallen,Switzerland,http://www.phsg.ch
Pädagogische Hochschule Thurgau,Switzerland,http://www.phtg.ch
Pädagogische Hochschule Schaffhausen,Switzerland,http://www.phsh.ch
Pädagogische Hochschule Graubünden,Switzerland,http://www.phgr.ch
Eidgenössisches Hochschulinstitut für Berufsbildung,Switzerland,https://www.sfuvet.swiss
Universitäre Fernstudien Schweiz,Switzerland,http://www.fernuni.ch
Pädagogische Hochschule Luzern,Switzerland,https://www.phlu.ch/
Pädagogische Hochschule Schwyz,Switzerland,http://www.phsz.ch/
Pädagogische Hochschule Zug,Switzerland,http://www.zg.ch/behoerden/direktion-fur-bildung-und-kultur/phzg
Institut des Hautes Etudes Internationales et du Développement,Switzerland,https://www.graduateinstitute.ch
Fachhochschule Graubünden,Switzerland,https://www.fhgr.ch/en/
SBS Swiss Business School,Switzerland,https://www.sbs.edu/
Ostschweizer Fachhochschule,Switzerland,https://www.ost.ch/en/
